year,city,country,avg_temp
1743,Brussels,Belgium,7.52
1744,Brussels,Belgium,11.02
1745,Brussels,Belgium,4.06
1746,Brussels,Belgium,
1747,Brussels,Belgium,
1748,Brussels,Belgium,
1749,Brussels,Belgium,
1750,Brussels,Belgium,10.73
1751,Brussels,Belgium,10.52
1752,Brussels,Belgium,6.55
1753,Brussels,Belgium,9.86
1754,Brussels,Belgium,9.54
1755,Brussels,Belgium,9.30
1756,Brussels,Belgium,9.77
1757,Brussels,Belgium,9.61
1758,Brussels,Belgium,9.31
1759,Brussels,Belgium,10.26
1760,Brussels,Belgium,9.98
1761,Brussels,Belgium,10.08
1762,Brussels,Belgium,9.44
1763,Brussels,Belgium,9.24
1764,Brussels,Belgium,9.80
1765,Brussels,Belgium,9.61
1766,Brussels,Belgium,9.49
1767,Brussels,Belgium,9.36
1768,Brussels,Belgium,9.49
1769,Brussels,Belgium,9.55
1770,Brussels,Belgium,9.52
1771,Brussels,Belgium,9.19
1772,Brussels,Belgium,10.22
1773,Brussels,Belgium,10.05
1774,Brussels,Belgium,9.72
1775,Brussels,Belgium,10.53
1776,Brussels,Belgium,9.66
1777,Brussels,Belgium,9.59
1778,Brussels,Belgium,10.31
1779,Brussels,Belgium,11.08
1780,Brussels,Belgium,10.02
1781,Brussels,Belgium,10.89
1782,Brussels,Belgium,9.03
1783,Brussels,Belgium,10.53
1784,Brussels,Belgium,8.71
1785,Brussels,Belgium,8.83
1786,Brussels,Belgium,8.89
1787,Brussels,Belgium,9.97
1788,Brussels,Belgium,9.76
1789,Brussels,Belgium,9.29
1790,Brussels,Belgium,9.98
1791,Brussels,Belgium,10.04
1792,Brussels,Belgium,9.98
1793,Brussels,Belgium,10.06
1794,Brussels,Belgium,10.48
1795,Brussels,Belgium,9.78
1796,Brussels,Belgium,9.87
1797,Brussels,Belgium,10.16
1798,Brussels,Belgium,10.02
1799,Brussels,Belgium,8.14
1800,Brussels,Belgium,9.78
1801,Brussels,Belgium,10.08
1802,Brussels,Belgium,9.71
1803,Brussels,Belgium,9.00
1804,Brussels,Belgium,9.51
1805,Brussels,Belgium,8.34
1806,Brussels,Belgium,10.46
1807,Brussels,Belgium,9.76
1808,Brussels,Belgium,9.16
1809,Brussels,Belgium,9.42
1810,Brussels,Belgium,9.31
1811,Brussels,Belgium,10.78
1812,Brussels,Belgium,8.95
1813,Brussels,Belgium,9.49
1814,Brussels,Belgium,8.65
1815,Brussels,Belgium,9.57
1816,Brussels,Belgium,8.47
1817,Brussels,Belgium,9.59
1818,Brussels,Belgium,10.26
1819,Brussels,Belgium,10.28
1820,Brussels,Belgium,8.99
1821,Brussels,Belgium,10.04
1822,Brussels,Belgium,10.91
1823,Brussels,Belgium,9.35
1824,Brussels,Belgium,10.05
1825,Brussels,Belgium,10.50
1826,Brussels,Belgium,10.37
1827,Brussels,Belgium,9.63
1828,Brussels,Belgium,10.44
1829,Brussels,Belgium,8.09
1830,Brussels,Belgium,9.09
1831,Brussels,Belgium,10.48
1832,Brussels,Belgium,9.26
1833,Brussels,Belgium,9.71
1834,Brussels,Belgium,11.20
1835,Brussels,Belgium,9.79
1836,Brussels,Belgium,9.84
1837,Brussels,Belgium,9.24
1838,Brussels,Belgium,8.53
1839,Brussels,Belgium,9.74
1840,Brussels,Belgium,9.03
1841,Brussels,Belgium,9.88
1842,Brussels,Belgium,9.57
1843,Brussels,Belgium,9.85
1844,Brussels,Belgium,9.04
1845,Brussels,Belgium,8.70
1846,Brussels,Belgium,10.90
1847,Brussels,Belgium,9.39
1848,Brussels,Belgium,9.96
1849,Brussels,Belgium,9.70
1850,Brussels,Belgium,9.20
1851,Brussels,Belgium,9.38
1852,Brussels,Belgium,10.49
1853,Brussels,Belgium,8.74
1854,Brussels,Belgium,9.71
1855,Brussels,Belgium,8.23
1856,Brussels,Belgium,9.73
1857,Brussels,Belgium,10.49
1858,Brussels,Belgium,9.32
1859,Brussels,Belgium,10.53
1860,Brussels,Belgium,8.54
1861,Brussels,Belgium,9.68
1862,Brussels,Belgium,10.34
1863,Brussels,Belgium,10.36
1864,Brussels,Belgium,8.64
1865,Brussels,Belgium,10.24
1866,Brussels,Belgium,10.21
1867,Brussels,Belgium,9.55
1868,Brussels,Belgium,10.95
1869,Brussels,Belgium,9.74
1870,Brussels,Belgium,8.97
1871,Brussels,Belgium,8.75
1872,Brussels,Belgium,10.75
1873,Brussels,Belgium,9.88
1874,Brussels,Belgium,9.73
1875,Brussels,Belgium,9.60
1876,Brussels,Belgium,9.99
1877,Brussels,Belgium,9.97
1878,Brussels,Belgium,9.82
1879,Brussels,Belgium,8.14
1880,Brussels,Belgium,10.00
1881,Brussels,Belgium,9.22
1882,Brussels,Belgium,9.81
1883,Brussels,Belgium,9.64
1884,Brussels,Belgium,10.30
1885,Brussels,Belgium,9.24
1886,Brussels,Belgium,9.59
1887,Brussels,Belgium,8.63
1888,Brussels,Belgium,8.62
1889,Brussels,Belgium,9.05
1890,Brussels,Belgium,8.86
1891,Brussels,Belgium,9.11
1892,Brussels,Belgium,9.10
1893,Brussels,Belgium,10.23
1894,Brussels,Belgium,9.91
1895,Brussels,Belgium,9.20
1896,Brussels,Belgium,9.37
1897,Brussels,Belgium,9.89
1898,Brussels,Belgium,10.31
1899,Brussels,Belgium,10.07
1900,Brussels,Belgium,10.18
1901,Brussels,Belgium,9.48
1902,Brussels,Belgium,9.22
1903,Brussels,Belgium,9.91
1904,Brussels,Belgium,9.84
1905,Brussels,Belgium,9.53
1906,Brussels,Belgium,9.98
1907,Brussels,Belgium,9.50
1908,Brussels,Belgium,9.33
1909,Brussels,Belgium,9.06
1910,Brussels,Belgium,9.96
1911,Brussels,Belgium,10.65
1912,Brussels,Belgium,9.94
1913,Brussels,Belgium,10.31
1914,Brussels,Belgium,10.15
1915,Brussels,Belgium,9.65
1916,Brussels,Belgium,9.95
1917,Brussels,Belgium,8.87
1918,Brussels,Belgium,10.10
1919,Brussels,Belgium,9.01
1920,Brussels,Belgium,10.22
1921,Brussels,Belgium,10.94
1922,Brussels,Belgium,9.11
1923,Brussels,Belgium,9.76
1924,Brussels,Belgium,9.50
1925,Brussels,Belgium,9.73
1926,Brussels,Belgium,10.31
1927,Brussels,Belgium,9.77
1928,Brussels,Belgium,10.28
1929,Brussels,Belgium,9.40
1930,Brussels,Belgium,10.45
1931,Brussels,Belgium,9.46
1932,Brussels,Belgium,10.03
1933,Brussels,Belgium,9.77
1934,Brussels,Belgium,10.77
1935,Brussels,Belgium,10.26
1936,Brussels,Belgium,10.03
1937,Brussels,Belgium,10.33
1938,Brussels,Belgium,10.36
1939,Brussels,Belgium,10.23
1940,Brussels,Belgium,9.02
1941,Brussels,Belgium,9.44
1942,Brussels,Belgium,9.35
1943,Brussels,Belgium,10.63
1944,Brussels,Belgium,9.93
1945,Brussels,Belgium,10.77
1946,Brussels,Belgium,9.89
1947,Brussels,Belgium,10.50
1948,Brussels,Belgium,10.63
1949,Brussels,Belgium,10.88
1950,Brussels,Belgium,10.20
1951,Brussels,Belgium,10.26
1952,Brussels,Belgium,9.91
1953,Brussels,Belgium,10.43
1954,Brussels,Belgium,9.70
1955,Brussels,Belgium,9.64
1956,Brussels,Belgium,8.96
1957,Brussels,Belgium,10.53
1958,Brussels,Belgium,10.11
1959,Brussels,Belgium,11.06
1960,Brussels,Belgium,10.40
1961,Brussels,Belgium,10.82
1962,Brussels,Belgium,8.95
1963,Brussels,Belgium,8.60
1964,Brussels,Belgium,9.93
1965,Brussels,Belgium,9.45
1966,Brussels,Belgium,10.23
1967,Brussels,Belgium,10.41
1968,Brussels,Belgium,9.79
1969,Brussels,Belgium,9.99
1970,Brussels,Belgium,9.96
1971,Brussels,Belgium,10.22
1972,Brussels,Belgium,9.75
1973,Brussels,Belgium,10.17
1974,Brussels,Belgium,10.45
1975,Brussels,Belgium,10.39
1976,Brussels,Belgium,10.75
1977,Brussels,Belgium,10.30
1978,Brussels,Belgium,9.66
1979,Brussels,Belgium,9.41
1980,Brussels,Belgium,9.73
1981,Brussels,Belgium,10.04
1982,Brussels,Belgium,10.66
1983,Brussels,Belgium,10.66
1984,Brussels,Belgium,10.11
1985,Brussels,Belgium,9.17
1986,Brussels,Belgium,9.60
1987,Brussels,Belgium,9.48
1988,Brussels,Belgium,10.82
1989,Brussels,Belgium,11.30
1990,Brussels,Belgium,11.34
1991,Brussels,Belgium,10.06
1992,Brussels,Belgium,10.81
1993,Brussels,Belgium,10.29
1994,Brussels,Belgium,11.32
1995,Brussels,Belgium,11.13
1996,Brussels,Belgium,9.30
1997,Brussels,Belgium,10.88
1998,Brussels,Belgium,10.79
1999,Brussels,Belgium,11.35
2000,Brussels,Belgium,11.37
2001,Brussels,Belgium,10.94
2002,Brussels,Belgium,11.44
2003,Brussels,Belgium,11.20
2004,Brussels,Belgium,10.94
2005,Brussels,Belgium,11.16
2006,Brussels,Belgium,11.48
2007,Brussels,Belgium,11.52
2008,Brussels,Belgium,10.90
2009,Brussels,Belgium,11.00
2010,Brussels,Belgium,9.74
2011,Brussels,Belgium,11.69
2012,Brussels,Belgium,10.68
2013,Brussels,Belgium,10.36
